"Main"	"Middle"	"Sub"	"Address"
"Beckhoff"	 	 	"1/-/-"
 	"Vitalnya"	 	"1/1/-"
 	 	"VITALNYA_T"	"1/1/0"
 	 	"Vitalnya_T_control_actual_Sp"	"1/1/1"
 	 	"Vitalnya_T_control_heating_ON"	"1/1/2"
 	 	"Vitalnya_T_control_ cooling_ON"	"1/1/3"
 	 	"Vitalnya_T_control_ MODE"	"1/1/4"
 	 	"Vitalnya_T_control_base_Sp"	"1/1/5"
 	 	"Vitalnya_T_control_heating_sig"	"1/1/6"
 	 	"Vitalnya_T_control_ cooling_sig"	"1/1/7"
 	 	"Vitalnya_fan_speed"	"1/1/8"
 	 	"komora_l"	"1/1/10"
 	 	"su1_l"	"1/1/11"
 	 	"topochna_l"	"1/1/12"
 	 	"su2_bra"	"1/1/13"
 	 	"su2_l"	"1/1/14"
 	 	"su1_rakovyna"	"1/1/15"
 	 	"su2_dush"	"1/1/16"
 	 	"dush"	"1/1/17"
 	 	"kuhnya1"	"1/1/18"
 	 	"vitalnya_smugy1"	"1/1/19"
 	 	"vitalnya_l"	"1/1/20"
 	 	"vitalnya_prokladka"	"1/1/21"
 	 	"terassa_stina"	"1/1/22"
 	 	"pidval_shody"	"1/1/23"
 	 	"skhody2pov"	"1/1/24"
 	 	"tambur_l"	"1/1/25"
 	 	"vent_su1"	"1/1/26"
 	 	"vent_ kuh_low"	"1/1/27"
 	 	"vent_ dush"	"1/1/28"
 	 	"vent_komora"	"1/1/29"
 	 	"vent_kuh_high"	"1/1/30"
 	 	"lights out 1"	"1/1/100"
 	"Kino+climate"	 	"1/2/-"
 	 	"KINO_T"	"1/2/0"
 	 	"Kino_T_control_actual_Sp"	"1/2/1"
 	 	"Kino_T_control_heating_ON"	"1/2/2"
 	 	"Kino_T_control_ cooling_ON"	"1/2/3"
 	 	"Kino_T_control_ MODE"	"1/2/4"
 	 	"Kino_T_control_base_Sp"	"1/2/5"
 	 	"Kino_T_control_heating_sig"	"1/2/6"
 	 	"Kino_T_control_ cooling_sig"	"1/2/7"
 	 	"Kino_fan_speed"	"1/2/8"
 	 	"vitalnya_damper"	"1/2/10"
 	 	"kino_damper"	"1/2/11"
 	 	"kabinet_damper"	"1/2/12"
 	 	"dytjacha_damper"	"1/2/13"
 	 	"spalnya_damper"	"1/2/14"
 	 	"tamburfloorHeatingSp"	"1/2/15"
 	 	"vitalnyaHeatingSp"	"1/2/16"
 	 	"dushfloorHeatingSp"	"1/2/17"
 	"Global"	 	"1/3/-"
 	 	"STUDIO T"	"1/3/0"
 	 	"OAT"	"1/3/1"
 	 	"Filtered OAT"	"1/3/2"
 	 	"RTControlMode"	"1/3/3"
 	 	"climateControlMode"	"1/3/4"
 	 	"time"	"1/3/10"
 	 	"date"	"1/3/11"
 	 	"twillight"	"1/3/12"
 	 	"beckhoff_twillight"	"1/3/13"
 	 	"sent_from_beckhoff_eib_twillight"	"1/3/14"
 	 	"OAT Heating Start Sp"	"1/3/15"
 	 	"OAT Cooling Start Sp"	"1/3/16"
 	"Kabinet"	 	"1/4/-"
 	 	"KABINET T"	"1/4/0"
 	 	"Kabinet_T_control_actual_Sp"	"1/4/1"
 	 	"Kabinet_T_control_heating_ON"	"1/4/2"
 	 	"Kabinet_T_control_ cooling_ON"	"1/4/3"
 	 	"Kabinet_T_control_ MODE"	"1/4/4"
 	 	"Kabinet_T_control_base_Sp"	"1/4/5"
 	 	"Kabinet_T_control_heating_sig"	"1/4/6"
 	 	"Kabinet_T_control_ cooling_sig"	"1/4/7"
 	 	"Kabinet_fan_speed"	"1/4/8"
 	 	"balkon_peryla"	"1/4/9"
 	 	"kino_l"	"1/4/10"
 	 	"balkon_bra"	"1/4/11"
 	 	"kabinet_balkon_l"	"1/4/12"
 	 	"balkon"	"1/4/13"
 	 	"korydor1"	"1/4/14"
 	 	"kino_bra"	"1/4/15"
 	 	"korydor2"	"1/4/16"
 	 	"studio_pidsvitka"	"1/4/17"
 	 	"skhody2_3"	"1/4/18"
 	 	"studio_l"	"1/4/19"
 	 	"kabinet_pidsvitka_kolo"	"1/4/20"
 	 	"kabinet_svitlo"	"1/4/21"
 	 	"stend"	"1/4/22"
 	 	"kabinet_kobra"	"1/4/23"
 	 	"skhody_peryla"	"1/4/24"
 	 	"lights out 2"	"1/4/100"
 	"Dytjacha"	 	"1/5/-"
 	 	"DYTJACHA T"	"1/5/0"
 	 	"Dytjacha_T_control_actual_Sp"	"1/5/1"
 	 	"Dytjacha_T_control_heating_ON"	"1/5/2"
 	 	"Dytjacha_T_control_ cooling_ON"	"1/5/3"
 	 	"Dytjacha_T_control_ MODE"	"1/5/4"
 	 	"Dytjacha_T_control_base_Sp"	"1/5/5"
 	 	"Dytjacha_T_control_heating_sig"	"1/5/6"
 	 	"Dytjacha_T_control_ cooling_sig"	"1/5/7"
 	 	"Dytjacha_fan_speed"	"1/5/8"
 	 	"su3FloorHeatingPowerSp"	"1/5/16"
 	 	"spalnyaFloorHeatingPowerSp"	"1/5/17"
 	 	"freshbarFloorHeatingPowerSp"	"1/5/18"
 	 	"servernaFloorHeatingPowerSp"	"1/5/19"
 	 	"dytjachaFloorHeatingPowerSp"	"1/5/20"
 	"Spalnya"	 	"1/6/-"
 	 	"SPALNYA T"	"1/6/0"
 	 	"Spalnya_T_control_actual_Sp"	"1/6/1"
 	 	"Spalnya_T_control_heating_ON"	"1/6/2"
 	 	"Spalnya_T_control_ cooling_ON"	"1/6/3"
 	 	"Spalnya_T_control_ MODE"	"1/6/4"
 	 	"Spalnya_T_control_base_Sp"	"1/6/5"
 	 	"Spalnya_T_control_heating_sig"	"1/6/6"
 	 	"Spalnya_T_control_ cooling_sig"	"1/6/7"
 	 	"Spalnya_fan_speed"	"1/6/8"
 	 	"spalnya_kontrazhur"	"1/6/9"
 	 	"spalnya_balkon"	"1/6/10"
 	 	"spalnya_kulbaba"	"1/6/11"
 	 	"spalnya_kontrazhur_b"	"1/6/12"
 	 	"spalnya_kontrazhur_l"	"1/6/13"
 	 	"su3_stina"	"1/6/14"
 	 	"su3_pidsvitka"	"1/6/15"
 	 	"su3_bra"	"1/6/16"
 	 	"su3_kontrazhur"	"1/6/17"
 	 	"dytjacha"	"1/6/18"
 	 	"su3_kuntrazhur_k"	"1/6/19"
 	 	"dytjacha_bra"	"1/6/20"
 	 	"su3_lampa"	"1/6/21"
 	 	"garderob"	"1/6/22"
 	 	"bar"	"1/6/23"
 	 	"korydor_skeli"	"1/6/24"
 	 	"choven"	"1/6/25"
 	 	"korydor_svitlo"	"1/6/26"
 	 	"korydor_lampa"	"1/6/27"
 	 	"serverna"	"1/6/28"
 	 	"lights out 3"	"1/6/100"
 	"Derevo"	 	"1/7/-"
 	 	"derevo_vidpochynok2"	"1/7/1"
 	 	"derevo_veranda"	"1/7/2"
 	 	"derevo_veranda_zovn"	"1/7/3"
 	 	"derevo_vhid_zovn"	"1/7/4"
 	 	"derevo_sauna"	"1/7/5"
 	 	"derevo_vhid"	"1/7/6"
 	 	"derevo_kotel"	"1/7/7"
 	 	"derevo_korydor"	"1/7/8"
 	 	"derevo_sinna"	"1/7/9"
 	 	"derevo_hamam"	"1/7/10"
 	 	"derevo_kuhnya"	"1/7/11"
 	 	"derevo_bassein1"	"1/7/12"
 	 	"derevo_bassein_lampa"	"1/7/13"
 	 	"derevo_spalnya2"	"1/7/14"
 	 	"derevo_terassa"	"1/7/15"
 	 	"derevo_dush"	"1/7/16"
 	 	"derevo_wc"	"1/7/17"
 	 	"derevo_spalnya_verh"	"1/7/18"
 	 	"derevo_spalnya1"	"1/7/19"
 	 	"derevo_spalnya_su"	"1/7/20"
 	 	"derevo_garderob"	"1/7/21"
 	 	"derevo_vidpochynok1"	"1/7/22"
 	 	"derevo_dush2"	"1/7/23"
 	 	"derevo_ligts out derevo"	"1/7/100"
 	 	"FB_derevo_vidpochynok2"	"1/7/101"
 	 	"FB_derevo_veranda"	"1/7/102"
 	 	"FB_derevo_veranda_zovn"	"1/7/103"
 	 	"FB_derevo_vhid_zovn"	"1/7/104"
 	 	"FB_derevo_sauna"	"1/7/105"
 	 	"FB_derevo_vhid"	"1/7/106"
 	 	"FB_derevo_kotel"	"1/7/107"
 	 	"FB_derevo_korydor"	"1/7/108"
 	 	"FB_derevo_sinna"	"1/7/109"
 	 	"FB_derevo_hamam"	"1/7/110"
 	 	"FB_derevo_kuhnya"	"1/7/111"
 	 	"FB_derevo_bassein1"	"1/7/112"
 	 	"FB_derevo_bassein_lampa"	"1/7/113"
 	 	"FB_derevo_spalnya2"	"1/7/114"
 	 	"FB_derevo_terassa"	"1/7/115"
 	 	"FB_derevo_dush"	"1/7/116"
 	 	"FB_derevo_wc"	"1/7/117"
 	 	"FB_derevo_spalnya_verh"	"1/7/118"
 	 	"FB_derevo_spalnya1"	"1/7/119"
 	 	"FB_derevo_spalnya_su"	"1/7/120"
 	 	"FB_derevo_garderob"	"1/7/121"
 	 	"FB_derevo_vidpochynok1"	"1/7/122"
 	 	"FB_derevo_dush2"	"1/7/123"
